user_id,match_rate,preferred
95,0.7,"[np.str_('Comedy'), np.str_('Thriller')]"
96,0.8,"[np.str_('Comedy'), np.str_('Romance')]"
97,0.5,"[np.str_('Comedy'), np.str_('Thriller')]"
98,0.7,"[np.str_('Documentary'), np.str_('Romance')]"
99,0.7,"[np.str_('Documentary'), np.str_('Action')]"
100,0.6,"[np.str_('Documentary'), np.str_('Drama')]"
101,0.9,"[np.str_('Comedy'), np.str_('Thriller')]"
102,0.6,"[np.str_('Action'), np.str_('Animation')]"
103,0.9,"[np.str_('Thriller'), np.str_('Animation')]"
104,0.6,"[np.str_('Action'), np.str_('Drama')]"
105,1.0,"[np.str_('Thriller'), np.str_('Animation')]"
106,0.8,"[np.str_('Action'), np.str_('Animation')]"
107,0.6,"[np.str_('Comedy'), np.str_('Action')]"
108,0.9,"[np.str_('Documentary'), np.str_('Romance')]"
109,0.6,"[np.str_('Action'), np.str_('Sci-Fi')]"
110,0.8,"[np.str_('Documentary'), np.str_('Animation')]"
111,0.7,"[np.str_('Sci-Fi'), np.str_('Animation')]"
112,0.8,"[np.str_('Comedy'), np.str_('Action')]"
113,0.8,"[np.str_('Comedy'), np.str_('Animation')]"
114,0.5,"[np.str_('Comedy'), np.str_('Animation')]"
115,1.0,"[np.str_('Documentary'), np.str_('Thriller')]"
116,0.9,"[np.str_('Documentary'), np.str_('Animation')]"
117,0.9,"[np.str_('Documentary'), np.str_('Comedy')]"
118,0.7,"[np.str_('Action'), np.str_('Thriller')]"
119,0.6,"[np.str_('Romance'), np.str_('Action')]"
120,0.9,"[np.str_('Drama'), np.str_('Sci-Fi')]"
121,0.7,"[np.str_('Romance'), np.str_('Drama')]"
122,0.5,"[np.str_('Documentary'), np.str_('Comedy')]"
123,0.8,"[np.str_('Documentary'), np.str_('Thriller')]"
124,0.5,"[np.str_('Documentary'), np.str_('Animation')]"
125,1.0,"[np.str_('Romance'), np.str_('Thriller')]"
126,0.5,"[np.str_('Drama'), np.str_('Thriller')]"
127,0.8,"[np.str_('Romance'), np.str_('Drama')]"
128,1.0,"[np.str_('Drama'), np.str_('Sci-Fi')]"
129,1.0,"[np.str_('Action'), np.str_('Drama')]"
130,0.9,"[np.str_('Romance'), np.str_('Thriller')]"
131,0.8,"[np.str_('Documentary'), np.str_('Sci-Fi')]"
132,0.4,"[np.str_('Drama'), np.str_('Animation')]"
133,0.7,"[np.str_('Comedy'), np.str_('Action')]"
134,0.7,"[np.str_('Drama'), np.str_('Action')]"
135,0.9,"[np.str_('Romance'), np.str_('Animation')]"
136,0.8,"[np.str_('Drama'), np.str_('Animation')]"
137,0.9,"[np.str_('Documentary'), np.str_('Romance')]"
138,0.9,"[np.str_('Romance'), np.str_('Action')]"
139,0.9,"[np.str_('Documentary'), np.str_('Comedy')]"
140,1.0,"[np.str_('Romance'), np.str_('Sci-Fi')]"
141,0.5,"[np.str_('Romance'), np.str_('Drama')]"
142,0.8,"[np.str_('Action'), np.str_('Drama')]"
143,0.9,"[np.str_('Documentary'), np.str_('Thriller')]"
144,0.9,"[np.str_('Documentary'), np.str_('Action')]"
145,1.0,"[np.str_('Action'), np.str_('Animation')]"
146,0.7,"[np.str_('Documentary'), np.str_('Romance')]"
147,0.9,"[np.str_('Documentary'), np.str_('Animation')]"
148,0.4,"[np.str_('Documentary'), np.str_('Thriller')]"
149,0.8,"[np.str_('Documentary'), np.str_('Comedy')]"
150,0.8,"[np.str_('Romance'), np.str_('Thriller')]"
151,0.9,"[np.str_('Documentary'), np.str_('Thriller')]"
152,0.9,"[np.str_('Comedy'), np.str_('Drama')]"
153,0.9,"[np.str_('Action'), np.str_('Sci-Fi')]"
154,0.7,"[np.str_('Drama'), np.str_('Action')]"
155,1.0,"[np.str_('Documentary'), np.str_('Comedy')]"
156,1.0,"[np.str_('Comedy'), np.str_('Thriller')]"
157,0.9,"[np.str_('Comedy'), np.str_('Drama')]"
158,0.8,"[np.str_('Comedy'), np.str_('Thriller')]"
159,0.8,"[np.str_('Documentary'), np.str_('Sci-Fi')]"
160,0.7,"[np.str_('Documentary'), np.str_('Sci-Fi')]"
161,1.0,"[np.str_('Documentary'), np.str_('Sci-Fi')]"
162,0.8,"[np.str_('Romance'), np.str_('Action')]"
163,1.0,"[np.str_('Drama'), np.str_('Thriller')]"
164,1.0,"[np.str_('Action'), np.str_('Sci-Fi')]"
165,0.9,"[np.str_('Action'), np.str_('Drama')]"
166,0.8,"[np.str_('Romance'), np.str_('Animation')]"
167,0.8,"[np.str_('Documentary'), np.str_('Sci-Fi')]"
168,0.7,"[np.str_('Documentary'), np.str_('Sci-Fi')]"
169,0.9,"[np.str_('Comedy'), np.str_('Thriller')]"
170,1.0,"[np.str_('Romance'), np.str_('Animation')]"
171,0.9,"[np.str_('Romance'), np.str_('Drama')]"
172,0.4,"[np.str_('Comedy'), np.str_('Drama')]"
173,0.6,"[np.str_('Comedy'), np.str_('Sci-Fi')]"
174,0.9,"[np.str_('Romance'), np.str_('Action')]"
175,0.8,"[np.str_('Documentary'), np.str_('Romance')]"
176,0.9,"[np.str_('Comedy'), np.str_('Sci-Fi')]"
177,0.6,"[np.str_('Documentary'), np.str_('Romance')]"
178,0.7,"[np.str_('Romance'), np.str_('Thriller')]"
179,0.5,"[np.str_('Documentary'), np.str_('Action')]"
180,0.8,"[np.str_('Sci-Fi'), np.str_('Animation')]"
181,1.0,"[np.str_('Romance'), np.str_('Drama')]"
182,0.6,"[np.str_('Action'), np.str_('Thriller')]"
183,1.0,"[np.str_('Comedy'), np.str_('Action')]"
184,0.9,"[np.str_('Comedy'), np.str_('Romance')]"
185,1.0,"[np.str_('Documentary'), np.str_('Animation')]"
186,1.0,"[np.str_('Action'), np.str_('Animation')]"
187,0.9,"[np.str_('Drama'), np.str_('Sci-Fi')]"
188,0.8,"[np.str_('Thriller'), np.str_('Animation')]"
189,0.8,"[np.str_('Drama'), np.str_('Sci-Fi')]"
190,0.8,"[np.str_('Comedy'), np.str_('Drama')]"
191,0.5,"[np.str_('Sci-Fi'), np.str_('Animation')]"
192,1.0,"[np.str_('Drama'), np.str_('Thriller')]"
193,0.8,"[np.str_('Sci-Fi'), np.str_('Thriller')]"
194,0.9,"[np.str_('Romance'), np.str_('Animation')]"
195,1.0,"[np.str_('Thriller'), np.str_('Animation')]"
196,0.5,"[np.str_('Documentary'), np.str_('Romance')]"
197,0.5,"[np.str_('Comedy'), np.str_('Action')]"
198,0.7,"[np.str_('Drama'), np.str_('Sci-Fi')]"
199,0.8,"[np.str_('Action'), np.str_('Sci-Fi')]"
