weather_severity,nas_congestion,carrier_issues,late_aircraft,season,airport,airline,delay_minutes,is_delayed
0.4065,0.4687,0.1106,0,summer,DFW,American,57.7,1
0.3235,0.5702,0.3822,0,summer,DFW,JetBlue,50.2,1
0.1813,0.2483,0.3869,0,spring,BOS,American,27.8,1
0.1103,0.3344,0.5927,0,summer,JFK,United,42.9,1
0.0626,0.5184,0.2843,0,summer,DFW,American,37.4,1
0.3894,0.7353,0.1411,0,winter,BOS,United,67.3,1
0.2208,0.3885,0.6404,1,spring,DFW,American,63.6,1
0.1706,0.5736,0.1242,1,fall,DFW,United,72.3,1
0.0676,0.3423,0.1882,1,summer,JFK,JetBlue,44.3,1
0.2064,0.0778,0.3227,0,winter,JFK,American,39.0,1
0.3588,0.3673,0.1249,1,winter,ORD,JetBlue,70.5,1
0.3169,0.6672,0.3637,1,winter,BOS,Southwest,89.6,1
0.1366,0.3744,0.1759,1,spring,LAX,Delta,50.6,1
0.2171,0.4621,0.055,0,fall,JFK,American,55.4,1
0.1364,0.4918,0.199,1,summer,SEA,United,63.1,1
0.0637,0.7901,0.54,0,winter,LAX,JetBlue,54.1,1
0.5786,0.4785,0.0542,0,summer,BOS,United,62.5,1
0.1674,0.3387,0.1508,0,summer,JFK,JetBlue,26.3,1
0.4858,0.2906,0.1221,1,fall,SEA,Delta,69.3,1
0.2231,0.3809,0.3949,1,spring,BOS,Southwest,67.4,1
0.3734,0.1318,0.3339,1,fall,SEA,Delta,68.3,1
0.3866,0.4925,0.1192,1,fall,ORD,United,67.1,1
0.291,0.2994,0.2568,0,winter,DFW,American,56.7,1
0.3585,0.5446,0.1796,0,fall,ATL,Southwest,51.1,1
0.3688,0.1891,0.1712,0,winter,BOS,JetBlue,38.7,1
0.4339,0.3433,0.2372,1,winter,BOS,Southwest,87.6,1
0.0593,0.2071,0.1771,0,winter,JFK,American,15.2,1
0.1537,0.4526,0.4513,1,fall,ORD,American,82.6,1
0.6909,0.7415,0.1382,1,spring,ATL,United,102.7,1
0.0493,0.1639,0.1652,0,spring,BOS,Delta,8.6,0
0.1859,0.332,0.3548,0,winter,SEA,JetBlue,34.9,1
0.2716,0.3142,0.4317,0,winter,BOS,Southwest,44.4,1
0.3219,0.3621,0.2719,0,winter,ATL,American,65.8,1
0.4821,0.3155,0.3432,1,winter,DFW,Delta,79.4,1
0.3197,0.3177,0.0257,0,winter,DFW,United,41.5,1
0.4916,0.3099,0.2718,1,winter,BOS,United,92.7,1
0.1842,0.5861,0.3634,1,winter,DFW,JetBlue,73.1,1
0.0294,0.1485,0.4075,0,summer,JFK,Delta,9.6,0
0.4383,0.5414,0.3245,0,summer,DFW,United,80.7,1
0.2202,0.1703,0.2807,0,winter,ORD,JetBlue,33.4,1
0.1273,0.1442,0.3765,1,winter,DFW,American,43.5,1
0.5623,0.645,0.1709,0,summer,JFK,Southwest,70.6,1
0.1352,0.4227,0.074,0,summer,BOS,JetBlue,32.8,1
0.1893,0.4918,0.1834,0,summer,SEA,Delta,36.8,1
0.2789,0.5812,0.0611,1,fall,SEA,American,53.9,1
0.2585,0.1051,0.091,0,winter,JFK,Southwest,32.4,1
0.1714,0.137,0.0874,0,winter,LAX,Delta,12.8,0
0.3903,0.2102,0.1753,0,summer,ATL,United,48.1,1
0.1388,0.531,0.1331,0,winter,BOS,Delta,44.5,1
0.4659,0.3072,0.0854,1,winter,DFW,Southwest,78.0,1
0.6158,0.4307,0.0556,1,spring,ATL,Southwest,107.2,1
0.3074,0.4771,0.2013,0,summer,JFK,Delta,46.7,1
0.3117,0.4096,0.2727,0,summer,ORD,Southwest,51.3,1
0.1347,0.725,0.412,0,winter,DFW,Delta,67.0,1
0.7239,0.5819,0.4344,0,summer,ATL,American,96.6,1
0.1191,0.5913,0.4218,0,spring,BOS,Southwest,40.5,1
0.2854,0.4447,0.0373,0,summer,LAX,Southwest,41.0,1
0.5143,0.6545,0.113,0,summer,JFK,American,80.9,1
0.1565,0.5767,0.1361,1,winter,BOS,American,49.9,1
0.2606,0.6816,0.2704,1,spring,BOS,JetBlue,77.0,1
0.1398,0.7283,0.111,0,summer,ORD,United,70.1,1
0.3881,0.2162,0.6894,1,winter,BOS,Delta,80.4,1
0.4642,0.4886,0.0547,1,fall,SEA,Southwest,81.6,1
0.1285,0.5616,0.2292,1,summer,ATL,Southwest,61.8,1
0.0552,0.4113,0.1306,0,summer,ORD,American,33.6,1
0.0173,0.5842,0.2666,0,summer,BOS,Delta,37.5,1
0.1592,0.5057,0.21,0,winter,JFK,United,41.8,1
0.2667,0.4817,0.472,1,winter,ORD,Delta,73.6,1
0.5297,0.281,0.1265,1,summer,ORD,JetBlue,86.4,1
0.3071,0.1464,0.0541,0,fall,LAX,American,17.7,1
0.2505,0.5363,0.2037,0,summer,ATL,American,65.8,1
0.4036,0.5082,0.1318,1,winter,SEA,United,82.6,1
0.3696,0.3283,0.1318,0,fall,ATL,JetBlue,36.4,1
0.2208,0.3717,0.532,0,summer,SEA,JetBlue,48.6,1
0.0907,0.4318,0.0557,0,summer,ATL,Southwest,22.9,1
0.4263,0.6402,0.2304,0,spring,ATL,Delta,60.3,1
0.3077,0.672,0.2741,1,summer,ATL,American,74.1,1
0.0869,0.2243,0.3771,0,fall,JFK,Southwest,34.2,1
0.3199,0.6216,0.1047,0,spring,SEA,United,34.9,1
0.1725,0.5033,0.2602,1,summer,JFK,United,79.1,1
0.5236,0.2386,0.1033,1,fall,LAX,American,60.4,1
0.1441,0.3853,0.2751,0,fall,BOS,United,29.8,1
0.4369,0.2905,0.2432,1,fall,ORD,Delta,65.6,1
0.562,0.1597,0.2684,0,summer,JFK,JetBlue,56.6,1
0.2039,0.3192,0.6598,1,fall,BOS,Southwest,72.8,1
0.2653,0.383,0.5536,0,winter,SEA,American,52.7,1
0.343,0.4982,0.2553,1,winter,LAX,Southwest,74.6,1
0.3082,0.6533,0.2176,1,winter,SEA,JetBlue,75.1,1
0.0785,0.8052,0.2234,0,spring,BOS,United,32.7,1
0.2042,0.4358,0.2831,1,summer,JFK,Southwest,80.0,1
0.4676,0.1354,0.2745,1,spring,SEA,Delta,65.5,1
0.2244,0.5353,0.2563,1,fall,LAX,United,75.9,1
0.5643,0.24,0.1135,0,winter,BOS,United,71.0,1
0.4584,0.6754,0.1878,0,fall,BOS,Delta,68.4,1
0.2287,0.3717,0.1791,0,summer,BOS,Southwest,34.8,1
0.1942,0.3946,0.5386,0,spring,ATL,United,49.0,1
0.114,0.544,0.3821,0,spring,ORD,JetBlue,40.4,1
0.1189,0.6669,0.0915,0,summer,DFW,Delta,44.8,1
0.2243,0.5431,0.0278,0,fall,JFK,United,42.4,1
0.1748,0.1152,0.2702,0,summer,ORD,United,31.1,1
0.2381,0.3118,0.16,0,fall,DFW,Delta,28.7,1
0.4379,0.8002,0.0503,0,summer,LAX,United,72.1,1
0.3051,0.2256,0.2557,1,spring,ORD,JetBlue,57.5,1
0.411,0.3236,0.0886,1,summer,BOS,Delta,62.8,1
0.2384,0.8017,0.1404,0,summer,SEA,American,66.5,1
0.3056,0.5439,0.5367,1,summer,JFK,Southwest,94.2,1
0.2243,0.382,0.5453,1,spring,SEA,United,68.7,1
0.2283,0.437,0.2874,0,summer,JFK,Delta,33.0,1
0.6014,0.3924,0.0786,0,fall,JFK,Southwest,48.9,1
0.1861,0.8865,0.4119,1,fall,ATL,Southwest,72.1,1
0.3322,0.5365,0.0372,0,spring,JFK,American,40.6,1
0.1536,0.6321,0.524,0,summer,JFK,American,57.1,1
0.5896,0.6099,0.0796,1,fall,SEA,JetBlue,86.7,1
0.136,0.2562,0.1241,1,summer,SEA,Southwest,48.3,1
0.1453,0.3055,0.5842,1,spring,JFK,American,60.8,1
0.4696,0.3983,0.1746,0,summer,JFK,Delta,66.5,1
0.3471,0.68,0.1296,0,fall,JFK,JetBlue,48.2,1
0.2244,0.5612,0.3596,0,summer,BOS,Southwest,36.8,1
0.3807,0.3268,0.1785,1,summer,LAX,United,76.3,1
0.2527,0.345,0.3702,0,winter,JFK,Delta,45.7,1
0.1918,0.6659,0.3487,1,summer,BOS,Delta,85.4,1
0.2178,0.4116,0.3838,0,winter,BOS,Delta,42.3,1
0.547,0.4317,0.2966,0,fall,ATL,JetBlue,49.6,1
0.432,0.4661,0.1474,0,winter,BOS,JetBlue,53.6,1
0.3375,0.7911,0.0281,0,winter,BOS,United,69.9,1
0.2801,0.5623,0.3338,1,winter,BOS,United,92.9,1
0.2047,0.4115,0.1825,1,spring,JFK,American,71.8,1
0.1978,0.1575,0.3715,1,winter,LAX,United,72.1,1
0.4201,0.1702,0.1657,0,winter,ATL,American,53.1,1
0.0946,0.2983,0.1121,0,spring,LAX,Delta,12.0,0
0.0683,0.1482,0.1085,0,summer,DFW,Southwest,24.5,1
0.3734,0.3444,0.1234,0,spring,ORD,American,45.4,1
0.1815,0.4032,0.6847,0,winter,SEA,Delta,57.0,1
0.4688,0.4143,0.0903,0,spring,DFW,United,43.7,1
0.4418,0.4355,0.569,0,fall,DFW,Delta,56.4,1
0.2731,0.3308,0.4187,0,spring,SEA,Delta,40.7,1
0.4417,0.2616,0.2953,1,spring,ATL,Delta,60.6,1
0.4515,0.5261,0.0575,1,summer,SEA,Southwest,64.6,1
0.5143,0.1347,0.1393,1,winter,ORD,Southwest,76.7,1
0.1985,0.6516,0.3878,0,fall,SEA,American,61.3,1
0.0562,0.1768,0.1344,0,winter,SEA,American,14.3,0
0.0131,0.5099,0.2548,0,winter,SEA,American,30.9,1
0.4422,0.547,0.013,0,winter,ORD,Southwest,69.0,1
0.2563,0.5605,0.3375,0,summer,BOS,American,63.2,1
0.1201,0.3997,0.4043,0,spring,DFW,United,28.3,1
0.2907,0.3967,0.0673,1,summer,SEA,American,69.8,1
0.2484,0.3361,0.1139,0,winter,BOS,JetBlue,39.1,1
0.2731,0.0902,0.3148,0,summer,ORD,Delta,31.1,1
0.231,0.5933,0.4931,1,spring,DFW,Southwest,81.7,1
0.3978,0.4156,0.1334,0,winter,BOS,Delta,56.9,1
0.1228,0.5538,0.4171,1,summer,ORD,United,81.6,1
0.2443,0.3021,0.112,0,winter,LAX,Southwest,31.0,1
0.1691,0.3294,0.3621,0,spring,SEA,United,44.6,1
0.363,0.3454,0.5056,0,spring,LAX,JetBlue,48.1,1
0.1594,0.3028,0.2986,0,summer,DFW,Southwest,40.6,1
0.098,0.6212,0.1343,0,summer,SEA,American,41.6,1
0.3259,0.38,0.331,0,fall,JFK,Delta,52.0,1
0.3065,0.6081,0.1639,0,summer,DFW,Delta,59.1,1
0.0767,0.317,0.2026,0,spring,LAX,Delta,24.2,1
0.4729,0.5999,0.0968,0,winter,ATL,United,80.0,1
0.3157,0.4068,0.0923,0,spring,JFK,Southwest,45.1,1
0.2063,0.5914,0.2488,0,winter,BOS,Delta,69.1,1
0.0387,0.1761,0.277,0,winter,ORD,United,23.9,1
0.4169,0.3933,0.3363,1,winter,ATL,JetBlue,91.7,1
0.3053,0.3383,0.2096,1,summer,SEA,American,72.3,1
0.3604,0.4379,0.2585,0,summer,ATL,Southwest,49.0,1
0.3197,0.6636,0.376,1,summer,ORD,American,103.8,1
0.0604,0.3711,0.0556,0,fall,DFW,Southwest,18.0,1
0.2177,0.5331,0.3706,0,fall,SEA,Delta,39.2,1
0.4234,0.2768,0.1303,1,spring,LAX,JetBlue,58.9,1
0.0858,0.4513,0.2452,1,summer,JFK,American,44.7,1
0.2411,0.537,0.342,0,spring,LAX,Southwest,47.9,1
0.1068,0.3622,0.1819,0,summer,JFK,JetBlue,31.9,1
0.394,0.5892,0.3062,0,summer,LAX,United,60.7,1
0.2557,0.2789,0.2669,1,winter,BOS,American,72.8,1
0.3841,0.4268,0.2179,0,winter,LAX,Delta,55.0,1
0.3661,0.6298,0.3797,0,winter,DFW,Delta,74.5,1
0.5816,0.5542,0.0363,0,winter,DFW,United,70.1,1
0.5622,0.3296,0.2483,0,winter,ORD,United,65.5,1
0.0884,0.1847,0.3662,1,spring,ATL,American,48.7,1
0.3446,0.8529,0.4052,0,summer,SEA,United,74.0,1
0.6096,0.6556,0.1392,0,summer,BOS,American,79.6,1
0.3141,0.4381,0.2216,0,winter,DFW,JetBlue,54.5,1
0.6479,0.661,0.2077,0,winter,JFK,Southwest,115.0,1
0.2265,0.3503,0.2579,0,summer,SEA,United,21.4,1
0.4532,0.411,0.678,0,summer,JFK,JetBlue,72.9,1
0.5996,0.5693,0.4201,0,fall,BOS,United,67.7,1
0.1362,0.5005,0.2562,0,spring,LAX,JetBlue,39.9,1
0.2361,0.3333,0.1561,0,spring,BOS,JetBlue,37.2,1
0.6047,0.7977,0.2692,0,summer,ATL,American,86.0,1
0.292,0.3359,0.454,0,winter,LAX,Delta,41.0,1
0.4004,0.7657,0.1853,0,winter,ATL,JetBlue,72.6,1
0.4508,0.5998,0.0905,1,spring,LAX,American,74.1,1
0.1848,0.4823,0.3535,1,fall,ATL,United,60.1,1
0.4102,0.5628,0.4308,0,spring,DFW,United,69.6,1
0.3497,0.5727,0.2289,0,winter,DFW,United,73.5,1
0.1756,0.468,0.3168,0,fall,DFW,Southwest,32.7,1
0.2053,0.3634,0.4789,0,fall,SEA,Southwest,24.6,1
0.6086,0.5177,0.2264,0,summer,DFW,Southwest,65.4,1
0.1417,0.7145,0.185,0,summer,BOS,United,38.8,1
0.4359,0.2844,0.255,1,fall,SEA,United,71.4,1
0.3082,0.5822,0.2778,0,summer,ORD,Southwest,56.6,1
0.455,0.3149,0.4555,1,winter,JFK,American,81.8,1
0.4275,0.3944,0.093,1,fall,DFW,United,56.6,1
0.2782,0.8752,0.3904,0,summer,DFW,United,59.4,1
0.1852,0.6696,0.3915,0,winter,SEA,American,62.4,1
0.5553,0.2084,0.2816,0,spring,ORD,Delta,43.0,1
0.5032,0.5481,0.3478,0,summer,JFK,Delta,70.3,1
0.3218,0.1768,0.336,0,fall,LAX,Southwest,32.7,1
0.294,0.6531,0.0783,0,fall,JFK,American,42.8,1
0.1254,0.1592,0.4688,0,winter,ATL,American,20.8,1
0.4444,0.1126,0.0759,1,fall,LAX,Southwest,51.1,1
0.5758,0.5461,0.5744,0,winter,SEA,Southwest,97.8,1
0.1238,0.2933,0.5406,0,summer,LAX,United,33.5,1
0.1417,0.6924,0.2661,0,winter,SEA,Delta,63.6,1
0.1873,0.3436,0.1073,0,summer,ATL,American,29.8,1
0.1913,0.5847,0.1239,0,summer,DFW,American,34.4,1
0.275,0.5169,0.0946,0,fall,JFK,JetBlue,38.9,1
0.2595,0.2226,0.069,0,summer,ATL,United,13.2,0
0.116,0.7059,0.2617,0,summer,JFK,Delta,56.0,1
0.5879,0.3836,0.2377,0,fall,BOS,Delta,50.8,1
0.1418,0.4798,0.0849,0,winter,LAX,JetBlue,27.4,1
0.2671,0.416,0.5664,1,winter,LAX,United,95.5,1
0.1693,0.7151,0.1955,0,winter,DFW,Delta,46.8,1
0.5051,0.7213,0.2675,1,spring,BOS,Southwest,101.9,1
0.2152,0.2296,0.0635,0,spring,DFW,United,22.9,1
0.3027,0.286,0.1839,1,winter,ATL,Delta,76.3,1
0.6043,0.2351,0.3801,0,winter,JFK,Southwest,76.8,1
0.2264,0.1391,0.5532,0,winter,BOS,JetBlue,45.0,1
0.33,0.2669,0.5075,0,winter,DFW,Delta,48.8,1
0.1553,0.1895,0.1431,1,spring,SEA,United,47.9,1
0.264,0.5429,0.2246,1,summer,JFK,American,75.7,1
0.3871,0.0951,0.1984,0,fall,ORD,JetBlue,19.6,1
0.122,0.2468,0.2871,0,winter,ATL,American,23.2,1
0.2307,0.406,0.6546,0,summer,SEA,United,49.9,1
0.3374,0.4847,0.5188,0,spring,BOS,Delta,57.0,1
0.0724,0.3506,0.4369,0,fall,JFK,Delta,38.0,1
0.3782,0.2912,0.0984,0,spring,DFW,United,44.7,1
0.3194,0.4651,0.6095,0,spring,SEA,United,69.9,1
0.1973,0.4177,0.145,1,summer,DFW,JetBlue,55.4,1
0.2872,0.5903,0.2404,0,fall,BOS,United,62.0,1
0.6008,0.3948,0.3722,0,spring,JFK,United,56.7,1
0.0971,0.4051,0.5363,0,winter,LAX,Delta,38.7,1
0.275,0.4199,0.3475,0,summer,SEA,JetBlue,36.0,1
0.5046,0.192,0.3766,0,fall,ORD,Delta,39.3,1
0.1595,0.4445,0.2896,0,fall,ATL,JetBlue,26.1,1
0.2144,0.5696,0.371,1,fall,JFK,American,77.9,1
0.4632,0.3725,0.3313,0,winter,SEA,American,58.3,1
0.2781,0.3318,0.2536,1,winter,DFW,Southwest,65.6,1
0.185,0.1201,0.0644,0,summer,SEA,United,14.4,0
0.1146,0.3646,0.1438,0,spring,ATL,Delta,23.5,1
0.4229,0.6808,0.0976,0,spring,JFK,JetBlue,67.6,1
0.6441,0.245,0.3625,0,spring,DFW,Southwest,65.5,1
0.3083,0.4,0.159,1,winter,BOS,American,65.8,1
0.4106,0.3628,0.1497,0,fall,ORD,Southwest,45.2,1
0.1961,0.2474,0.3982,0,summer,SEA,Delta,36.0,1
0.1389,0.0876,0.2772,0,spring,BOS,Southwest,19.8,1
0.0985,0.4593,0.0646,0,summer,JFK,Southwest,50.1,1
0.3673,0.4172,0.1571,0,summer,JFK,American,49.9,1
0.5074,0.3206,0.096,1,spring,ATL,Southwest,60.7,1
0.2365,0.4374,0.1652,0,fall,ATL,Southwest,33.0,1
0.4056,0.0642,0.4396,0,spring,DFW,JetBlue,38.1,1
0.2649,0.4578,0.1162,0,summer,LAX,American,43.0,1
0.3808,0.3107,0.2012,1,winter,ORD,Delta,76.8,1
0.2253,0.6974,0.4741,0,spring,DFW,United,60.5,1
0.0452,0.4157,0.4489,0,summer,BOS,Delta,46.6,1
0.1644,0.3686,0.1722,0,fall,BOS,American,46.9,1
0.1914,0.22,0.1503,1,fall,DFW,Southwest,58.9,1
0.2616,0.5641,0.1054,0,fall,ATL,American,52.4,1
0.3564,0.8277,0.2366,1,fall,DFW,United,93.0,1
0.0807,0.7209,0.2632,0,winter,SEA,United,45.0,1
0.1085,0.3608,0.3955,0,fall,SEA,American,32.3,1
0.2455,0.4148,0.3319,0,fall,SEA,Southwest,46.3,1
0.5454,0.4763,0.3664,0,winter,BOS,United,88.6,1
0.3355,0.2587,0.1841,0,spring,ORD,Delta,42.1,1
0.1119,0.4834,0.0724,0,spring,JFK,American,42.9,1
